important nonlinear data::important nonlinear data
tree adt requires::tree adt requires
support a positions::support a positions
order of iteration::order of iteration
include the definition::include the definition
return the entire::return the entire
tree s positions::tree s positions
return entire preorder::return entire preorder
entire preorder iteration::entire preorder iteration
preorder iteration code::preorder iteration code
iteration code fragment::iteration code fragment
class that relies::class that relies
traversal to generate::traversal to generate
generate the results::generate the results
